Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"3,528.00","3,535.99",741.12,"1,356.49"
"3,536.00","3,551.99",740.12,"1,355.49"
"3,552.00","3,575.99",739.12,"1,354.49"
"3,576.00","3,583.99",738.12,"1,353.49"
"3,584.00","3,599.99",737.12,"1,352.49"
"3,600.00","3,623.99",736.12,"1,351.49"
"3,624.00","3,631.99",735.12,"1,350.49"
"3,632.00","3,647.99",734.12,"1,349.49"
"3,648.00","3,671.99",733.12,"1,348.49"
"3,672.00","3,679.99",732.12,"1,347.49"
"3,680.00","3,695.99",731.12,"1,346.49"
"3,696.00","3,719.99",730.12,"1,345.49"
"3,720.00","3,727.99",729.12,"1,344.49"
"3,728.00","3,743.99",728.12,"1,343.49"
"3,744.00","3,767.99",727.12,"1,342.49"
"3,768.00","3,775.99",726.12,"1,341.49"
"3,776.00","3,791.99",725.12,"1,340.49"
"3,792.00","3,815.99",724.12,"1,339.49"
"3,816.00","3,823.99",723.12,"1,338.49"
"3,824.00","3,839.99",722.12,"1,337.49"
"3,840.00","3,863.99",721.12,"1,336.49"
"3,864.00","3,871.99",720.12,"1,335.49"
"3,872.00","3,887.99",719.12,"1,334.49"
"3,888.00","3,911.99",718.12,"1,333.49"
"3,912.00","3,919.99",717.12,"1,332.49"
"3,920.00","3,935.99",716.12,"1,331.49"
"3,936.00","3,959.99",715.12,"1,330.49"
"3,960.00","3,967.99",714.12,"1,329.49"
"3,968.00","3,983.99",713.12,"1,328.49"
"3,984.00","4,007.99",712.12,"1,327.49"
"4,008.00","4,015.99",711.12,"1,326.49"
"4,016.00","4,031.99",710.12,"1,325.49"
"4,032.00","4,055.99",709.12,"1,324.49"
"4,056.00","4,063.99",708.12,"1,323.49"
