from,to,gis,gis&oas
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,
#Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
#Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) � ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"16,752.00","16,767.99",592.12,"1,207.49"
"16,768.00","16,799.99",591.12,"1,206.49"
"16,800.00","16,847.99",590.12,"1,205.49"
"16,848.00","16,863.99",589.12,"1,204.49"
"16,864.00","16,895.99",588.12,"1,203.49"
"16,896.00","16,943.99",587.12,"1,202.49"
"16,944.00","16,959.99",586.12,"1,201.49"
"16,960.00","16,991.99",585.12,"1,200.49"
"16,992.00","17,039.99",584.12,"1,199.49"
"17,040.00","17,055.99",583.12,"1,198.49"
"17,056.00","17,087.99",582.12,"1,197.49"
"17,088.00","17,135.99",581.12,"1,196.49"
"17,136.00","17,151.99",580.12,"1,195.49"
"17,152.00","17,183.99",579.12,"1,194.49"
"17,184.00","17,231.99",578.12,"1,193.49"
"17,232.00","17,247.99",577.12,"1,192.49"
"17,248.00","17,279.99",576.12,"1,191.49"
"17,280.00","17,327.99",575.12,"1,190.49"
"17,328.00","17,343.99",574.12,"1,189.49"
"17,344.00","17,375.99",573.12,"1,188.49"
"17,376.00","17,423.99",572.12,"1,187.49"
"17,424.00","17,439.99",571.12,"1,186.49"
"17,440.00","17,471.99",570.12,"1,185.49"
"17,472.00","17,519.99",569.12,"1,184.49"
"17,520.00","17,535.99",568.12,"1,183.49"
"17,536.00","17,567.99",567.12,"1,182.49"
"17,568.00","17,615.99",566.12,"1,181.49"
"17,616.00","17,631.99",565.12,"1,180.49"
"17,632.00","17,663.99",564.12,"1,179.49"
"17,664.00","17,711.99",563.12,"1,178.49"
"17,712.00","17,727.99",562.12,"1,177.49"
"17,728.00","17,759.99",561.76,"1,177.13"
"17,760.00","17,807.99",560.76,"1,176.13"
"17,808.00","17,855.99",559.76,"1,175.13"
"17,856.00","17,903.99",558.76,"1,174.13"
"17,904.00","17,951.99",557.76,"1,173.13"
"17,952.00","17,999.99",556.76,"1,172.13"
"18,000.00","18,047.99",555.76,"1,171.13"
"18,048.00","18,095.99",554.76,"1,170.13"
"18,096.00","18,143.99",553.76,"1,169.13"
"18,144.00","18,191.99",552.76,"1,168.13"
"18,192.00","18,239.99",551.76,"1,167.13"
"18,240.00","18,287.99",550.76,"1,166.13"
"18,288.00","18,335.99",549.76,"1,165.13"
"18,336.00","18,383.99",548.76,"1,164.13"
"18,384.00","18,431.99",547.76,"1,163.13"
"18,432.00","18,479.99",546.76,"1,162.13"
"18,480.00","18,527.99",545.76,"1,161.13"
"18,528.00","18,575.99",544.76,"1,160.13"
"18,576.00","18,623.99",543.76,"1,159.13"
"18,624.00","18,671.99",542.76,"1,158.13"
"18,672.00","18,719.99",541.76,"1,157.13"
"18,720.00","18,767.99",540.76,"1,156.13"
"18,768.00","18,815.99",539.76,"1,155.13"
"18,816.00","18,863.99",538.76,"1,154.13"
"18,864.00","18,911.99",537.76,"1,153.13"
"18,912.00","18,959.99",536.76,"1,152.13"
"18,960.00","19,007.99",535.76,"1,151.13"
"19,008.00","19,055.99",534.76,"1,150.13"
"19,056.00","19,103.99",533.76,"1,149.13"
"19,104.00","19,151.99",532.76,"1,148.13"
"19,152.00","19,199.99",531.76,"1,147.13"
"19,200.00","19,247.99",530.76,"1,146.13"
"19,248.00","19,295.99",529.76,"1,145.13"
"19,296.00","19,343.99",528.76,"1,144.13"
"19,344.00","19,391.99",527.76,"1,143.13"
"19,392.00","19,439.99",526.76,"1,142.13"
"19,440.00","19,487.99",525.76,"1,141.13"
"19,488.00","19,535.99",524.76,"1,140.13"
"19,536.00","19,583.99",523.76,"1,139.13"
"19,584.00","19,631.99",522.76,"1,138.13"
"19,632.00","19,679.99",521.76,"1,137.13"
