from,to,gis,gis&oas
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,
#Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
#Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) � ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b�n�ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
"8,400.00","8,447.99",337.94,953.31
"8,448.00","8,495.99",336.94,952.31
"8,496.00","8,543.99",335.94,951.31
"8,544.00","8,591.99",334.94,950.31
"8,592.00","8,639.99",333.94,949.31
"8,640.00","8,687.99",332.94,948.31
"8,688.00","8,735.99",331.94,947.31
"8,736.00","8,783.99",330.94,946.31
"8,784.00","8,831.99",329.94,945.31
"8,832.00","8,879.99",328.94,944.31
"8,880.00","8,927.99",327.94,943.31
"8,928.00","8,975.99",326.94,942.31
"8,976.00","9,023.99",325.94,941.31
"9,024.00","9,071.99",324.94,940.31
"9,072.00","9,119.99",323.94,939.31
"9,120.00","9,167.99",322.94,938.31
"9,168.00","9,215.99",321.94,937.31
"9,216.00","9,263.99",320.94,936.31
"9,264.00","9,311.99",319.94,935.31
"9,312.00","9,359.99",318.94,934.31
"9,360.00","9,407.99",317.94,933.31
"9,408.00","9,455.99",316.94,932.31
"9,456.00","9,503.99",315.94,931.31
"9,504.00","9,551.99",314.94,930.31
"9,552.00","9,599.99",313.94,929.31
"9,600.00","9,647.99",312.94,928.31
"9,648.00","9,695.99",311.94,927.31
"9,696.00","9,743.99",310.94,926.31
"9,744.00","9,791.99",309.94,925.31
"9,792.00","9,839.99",308.94,924.31
"9,840.00","9,887.99",307.94,923.31
"9,888.00","9,935.99",306.94,922.31
"9,936.00","9,983.99",305.94,921.31
"9,984.00","10,031.99",304.94,920.31
"10,032.00","10,079.99",303.94,919.31
"10,080.00","10,127.99",302.94,918.31
"10,128.00","10,175.99",301.94,917.31
"10,176.00","10,223.99",300.94,916.31
"10,224.00","10,271.99",299.94,915.31
"10,272.00","10,319.99",298.94,914.31
"10,320.00","10,367.99",297.94,913.31
"10,368.00","10,415.99",296.94,912.31
"10,416.00","10,463.99",295.94,911.31
"10,464.00","10,511.99",294.94,910.31
"10,512.00","10,559.99",293.94,909.31
"10,560.00","10,607.99",292.94,908.31
"10,608.00","10,655.99",291.94,907.31
"10,656.00","10,703.99",290.94,906.31
"10,704.00","10,751.99",289.94,905.31
"10,752.00","10,799.99",288.94,904.31
"10,800.00","10,847.99",287.94,903.31
"10,848.00","10,895.99",286.94,902.31
"10,896.00","10,943.99",285.94,901.31
"10,944.00","10,991.99",284.94,900.31
"10,992.00","11,039.99",283.94,899.31
"11,040.00","11,087.99",282.94,898.31
"11,088.00","11,135.99",281.94,897.31
"11,136.00","11,183.99",280.94,896.31
"11,184.00","11,231.99",279.94,895.31
"11,232.00","11,279.99",278.94,894.31
"11,280.00","11,327.99",277.94,893.31
"11,328.00","11,375.99",276.94,892.31
"11,376.00","11,423.99",275.94,891.31
"11,424.00","11,471.99",274.94,890.31
"11,472.00","11,519.99",273.94,889.31
"11,520.00","11,567.99",272.94,888.31
"11,568.00","11,615.99",271.94,887.31
"11,616.00","11,663.99",270.94,886.31
"11,664.00","11,711.99",269.94,885.31
"11,712.00","11,759.99",268.94,884.31
"11,760.00","11,807.99",267.94,883.31
"11,808.00","11,855.99",266.94,882.31
"11,856.00","11,903.99",265.94,881.31
"11,904.00","11,951.99",264.94,880.31
"11,952.00","11,999.99",263.94,879.31
"12,000.00","12,047.99",262.94,878.31
"12,048.00","12,095.99",261.94,877.31
"12,096.00","12,143.99",260.94,876.31
"12,144.00","12,191.99",259.94,875.31
"12,192.00","12,239.99",258.94,874.31
"12,240.00","12,287.99",257.94,873.31
"12,288.00","12,335.99",256.94,872.31
"12,336.00","12,383.99",255.94,871.31
"12,384.00","12,431.99",254.94,870.31
"12,432.00","12,479.99",253.94,869.31
"12,480.00","12,527.99",252.94,868.31
"12,528.00","12,575.99",251.94,867.31
"12,576.00","12,623.99",250.94,866.31
"12,624.00","12,671.99",249.94,865.31
"12,672.00","12,719.99",248.94,864.31
"12,720.00","12,767.99",247.94,863.31
"12,768.00","12,815.99",246.94,862.31
"12,816.00","12,863.99",245.94,861.31
"12,864.00","12,911.99",244.94,860.31
"12,912.00","12,959.99",243.94,859.31
"12,960.00","13,007.99",242.94,858.31
"13,008.00","13,055.99",241.94,857.31
"13,056.00","13,103.99",240.94,856.31
"13,104.00","13,151.99",239.94,855.31
"13,152.00","13,199.99",238.94,854.31
"13,200.00","13,247.99",237.94,853.31
"13,248.00","13,295.99",236.94,852.31
"13,296.00","13,343.99",235.94,851.31
"13,344.00","13,391.99",234.94,850.31
"13,392.00","13,439.99",233.94,849.31
"13,440.00","13,487.99",232.94,848.31
"13,488.00","13,535.99",231.94,847.31
"13,536.00","13,583.99",230.94,846.31
"13,584.00","13,631.99",229.94,845.31
"13,632.00","13,679.99",228.94,844.31
"13,680.00","13,727.99",227.94,843.31
"13,728.00","13,775.99",226.94,842.31
"13,776.00","13,823.99",225.94,841.31
"13,824.00","13,871.99",224.94,840.31
"13,872.00","13,919.99",223.94,839.31
"13,920.00","13,967.99",222.94,838.31
"13,968.00","14,015.99",221.94,837.31
"14,016.00","14,063.99",220.94,836.31
"14,064.00","14,111.99",219.94,835.31
"14,112.00","14,159.99",218.94,834.31
"14,160.00","14,207.99",217.94,833.31
"14,208.00","14,255.99",216.94,832.31
