Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,
Yearly Income (excluding Allowance for the Survivor) From ($),Yearly Income (excluding Allowance for the Survivor) To ($),Monthly Allowance for the Survivor ($)
Revenu annuel (excluant l'Allocation au survivant) De ($),Revenu annuel (excluant l'Allocation au survivant) À ($),Allocation mensuelle au survivant ($)
"10,680.00","10,703.99",602.35
"10,704.00","10,727.99",601.35
"10,728.00","10,751.99",600.35
"10,752.00","10,775.99",599.35
"10,776.00","10,799.99",598.35
"10,800.00","10,823.99",597.35
"10,824.00","10,847.99",596.35
"10,848.00","10,871.99",595.35
"10,872.00","10,895.99",594.35
"10,896.00","10,919.99",593.35
"10,920.00","10,943.99",592.35
"10,944.00","10,967.99",591.35
"10,968.00","10,991.99",590.35
"10,992.00","11,015.99",589.35
"11,016.00","11,039.99",588.35
"11,040.00","11,063.99",587.35
"11,064.00","11,087.99",586.35
"11,088.00","11,111.99",585.35
"11,112.00","11,135.99",584.35
"11,136.00","11,159.99",583.35
"11,160.00","11,183.99",582.35
"11,184.00","11,207.99",581.35
"11,208.00","11,231.99",580.35
"11,232.00","11,255.99",579.35
"11,256.00","11,279.99",578.35
"11,280.00","11,303.99",577.35
"11,304.00","11,327.99",576.35
"11,328.00","11,351.99",575.35
"11,352.00","11,375.99",574.35
"11,376.00","11,399.99",573.35
"11,400.00","11,423.99",572.35
"11,424.00","11,447.99",571.35
"11,448.00","11,471.99",570.35
"11,472.00","11,495.99",569.35
"11,496.00","11,519.99",568.35
"11,520.00","11,543.99",567.35
"11,544.00","11,567.99",566.35
"11,568.00","11,591.99",565.35
"11,592.00","11,615.99",564.35
"11,616.00","11,639.99",563.35
"11,640.00","11,663.99",562.35
"11,664.00","11,687.99",561.35
"11,688.00","11,711.99",560.35
"11,712.00","11,735.99",559.35
"11,736.00","11,759.99",558.35
"11,760.00","11,783.99",557.35
"11,784.00","11,807.99",556.35
"11,808.00","11,831.99",555.35
"11,832.00","11,855.99",554.35
"11,856.00","11,879.99",553.35
"11,880.00","11,903.99",552.35
"11,904.00","11,927.99",551.35
"11,928.00","11,951.99",550.35
"11,952.00","11,975.99",549.35
"11,976.00","11,999.99",548.35
"12,000.00","12,023.99",547.35
"12,024.00","12,047.99",546.35
"12,048.00","12,071.99",545.35
"12,072.00","12,095.99",544.35
"12,096.00","12,119.99",543.35
"12,120.00","12,143.99",542.35
"12,144.00","12,167.99",541.35
"12,168.00","12,191.99",540.35
"12,192.00","12,215.99",539.35
"12,216.00","12,239.99",538.35
"12,240.00","12,263.99",537.35
"12,264.00","12,287.99",536.35
"12,288.00","12,311.99",535.35
"12,312.00","12,335.99",534.35
"12,336.00","12,359.99",533.35
"12,360.00","12,383.99",532.35
"12,384.00","12,407.99",531.35
"12,408.00","12,431.99",530.35
"12,432.00","12,455.99",529.35
"12,456.00","12,479.99",528.35
"12,480.00","12,503.99",527.35
"12,504.00","12,527.99",526.35
"12,528.00","12,551.99",525.35
"12,552.00","12,575.99",524.35
"12,576.00","12,599.99",523.35
"12,600.00","12,623.99",522.35
"12,624.00","12,647.99",521.35
"12,648.00","12,671.99",520.35
"12,672.00","12,695.99",519.35
"12,696.00","12,719.99",518.35
"12,720.00","12,743.99",517.35
"12,744.00","12,767.99",516.35
"12,768.00","12,791.99",515.35
"12,792.00","12,815.99",514.35
"12,816.00","12,839.99",513.35
"12,840.00","12,863.99",512.35
"12,864.00","12,887.99",511.35
"12,888.00","12,911.99",510.35
"12,912.00","12,935.99",509.35
"12,936.00","12,959.99",508.35
"12,960.00","12,983.99",507.35
"12,984.00","13,007.99",506.35
"13,008.00","13,031.99",505.35
"13,032.00","13,055.99",504.35
"13,056.00","13,079.99",503.35
"13,080.00","13,103.99",502.35
"13,104.00","13,127.99",501.35
"13,128.00","13,151.99",500.35
"13,152.00","13,175.99",499.35
"13,176.00","13,199.99",498.35
"13,200.00","13,223.99",497.35
"13,224.00","13,247.99",496.35
"13,248.00","13,271.99",495.35
"13,272.00","13,295.99",494.35
"13,296.00","13,319.99",493.35
