from,to,gis,gis&oas,allowance
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,,
#"Combined Yearly Income of couple (excluding OAS, GIS and Allowance) From ($)","Combined Yearly Income of couple (excluding OAS, GIS and Allowance) To ($)",Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($),Monthly Allowance ($)
#"Revenu annuel du couple (sauf la pension de la SV, le SRG et l'Allocation) De ($)","Revenu annuel du couple (sauf la pension de la SV, le SRG et l'Allocation) � ($)",SRG mensuel pour montant maximal de la pension de la SV ($),SRG mensuel pour montant maximal de la pension de la SV ($),Allocation mensuelle ($)<
"26,448.00","26,495.99",211.82,827.19,167.94
"26,496.00","26,543.99",211.82,827.19,166.94
"26,544.00","26,591.99",211.82,827.19,165.94
"26,592.00","26,639.99",211.82,827.19,164.94
"26,640.00","26,687.99",211.82,827.19,163.94
"26,688.00","26,735.99",211.82,827.19,162.94
"26,736.00","26,783.99",211.82,827.19,161.94
"26,784.00","26,831.99",211.82,827.19,160.94
"26,832.00","26,879.99",211.82,827.19,159.94
"26,880.00","26,927.99",211.82,827.19,158.94
"26,928.00","26,975.99",211.82,827.19,157.94
"26,976.00","27,023.99",211.82,827.19,156.94
"27,024.00","27,071.99",211.82,827.19,155.94
"27,072.00","27,119.99",211.82,827.19,154.94
"27,120.00","27,167.99",211.82,827.19,153.94
"27,168.00","27,215.99",211.82,827.19,152.94
"27,216.00","27,263.99",211.82,827.19,151.94
"27,264.00","27,311.99",211.82,827.19,150.94
"27,312.00","27,359.99",211.82,827.19,149.94
"27,360.00","27,407.99",211.82,827.19,148.94
"27,408.00","27,455.99",211.82,827.19,147.94
"27,456.00","27,503.99",211.82,827.19,146.94
"27,504.00","27,551.99",211.82,827.19,145.94
"27,552.00","27,599.99",211.82,827.19,144.94
"27,600.00","27,647.99",211.82,827.19,143.94
"27,648.00","27,695.99",211.82,827.19,142.94
"27,696.00","27,743.99",211.82,827.19,141.94
"27,744.00","27,791.99",211.82,827.19,140.94
"27,792.00","27,839.99",211.82,827.19,139.94
"27,840.00","27,887.99",211.82,827.19,138.94
"27,888.00","27,935.99",211.82,827.19,137.94
"27,936.00","27,983.99",211.82,827.19,136.94
"27,984.00","28,031.99",211.82,827.19,135.94
"28,032.00","28,079.99",211.82,827.19,134.94
"28,080.00","28,127.99",211.82,827.19,133.94
"28,128.00","28,175.99",211.82,827.19,132.94
"28,176.00","28,223.99",211.82,827.19,131.94
"28,224.00","28,271.99",211.82,827.19,130.94
"28,272.00","28,319.99",211.82,827.19,129.94
"28,320.00","28,367.99",211.82,827.19,128.94
"28,368.00","28,415.99",211.82,827.19,127.94
"28,416.00","28,463.99",211.82,827.19,126.94
"28,464.00","28,511.99",211.82,827.19,125.94
"28,512.00","28,559.99",211.82,827.19,124.94
"28,560.00","28,607.99",211.82,827.19,123.94
"28,608.00","28,655.99",211.82,827.19,122.94
"28,656.00","28,703.99",211.82,827.19,121.94
"28,704.00","28,751.99",211.82,827.19,120.94
"28,752.00","28,799.99",211.82,827.19,119.94
"28,800.00","28,847.99",211.82,827.19,118.94
"28,848.00","28,895.99",211.82,827.19,117.94
"28,896.00","28,943.99",211.82,827.19,116.94
"28,944.00","28,991.99",211.82,827.19,115.94
"28,992.00","29,039.99",211.82,827.19,114.94
"29,040.00","29,087.99",211.82,827.19,113.94
"29,088.00","29,135.99",211.82,827.19,112.94
"29,136.00","29,183.99",211.82,827.19,111.94
"29,184.00","29,231.99",211.82,827.19,110.94
"29,232.00","29,279.99",211.82,827.19,109.94
"29,280.00","29,327.99",211.82,827.19,108.94
"29,328.00","29,375.99",211.82,827.19,107.94
"29,376.00","29,423.99",211.82,827.19,106.94
"29,424.00","29,471.99",211.82,827.19,105.94
"29,472.00","29,519.99",211.82,827.19,104.94
"29,520.00","29,567.99",211.82,827.19,103.94
"29,568.00","29,615.99",211.82,827.19,102.94
"29,616.00","29,663.99",211.82,827.19,101.94
"29,664.00","29,711.99",211.82,827.19,100.94
"29,712.00","29,759.99",211.82,827.19,99.94
"29,760.00","29,807.99",211.82,827.19,98.94
"29,808.00","29,855.99",211.82,827.19,97.94
"29,856.00","29,903.99",211.82,827.19,96.94
"29,904.00","29,951.99",211.82,827.19,95.94
"29,952.00","29,999.99",211.82,827.19,94.94
"30,000.00","30,047.99",211.82,827.19,93.94
"30,048.00","30,095.99",211.82,827.19,92.94
"30,096.00","30,143.99",211.82,827.19,91.94
"30,144.00","30,191.99",211.82,827.19,90.94
"30,192.00","30,239.99",211.82,827.19,89.94
"30,240.00","30,287.99",211.82,827.19,88.94
"30,288.00","30,335.99",211.82,827.19,87.94
"30,336.00","30,383.99",211.82,827.19,86.94
"30,384.00","30,431.99",211.82,827.19,85.94
"30,432.00","30,479.99",211.82,827.19,84.94
"30,480.00","30,527.99",211.82,827.19,83.94
"30,528.00","30,575.99",211.82,827.19,82.94
"30,576.00","30,623.99",211.82,827.19,81.94
"30,624.00","30,671.99",211.82,827.19,80.94
"30,672.00","30,719.99",211.82,827.19,79.94
"30,720.00","30,767.99",211.82,827.19,78.94
"30,768.00","30,815.99",211.82,827.19,77.94
"30,816.00","30,863.99",211.82,827.19,76.94
"30,864.00","30,911.99",211.82,827.19,75.94
"30,912.00","30,959.99",211.82,827.19,74.94
"30,960.00","31,007.99",211.82,827.19,73.94
"31,008.00","31,055.99",211.82,827.19,72.94
"31,056.00","31,103.99",211.82,827.19,71.94
"31,104.00","31,151.99",211.82,827.19,70.94
"31,152.00","31,199.99",211.82,827.19,69.94
"31,200.00","31,247.99",211.82,827.19,68.94
"31,248.00","31,295.99",211.82,827.19,67.94
"31,296.00","31,343.99",211.82,827.19,66.94
"31,344.00","31,391.99",211.82,827.19,65.94
"31,392.00","31,439.99",211.82,827.19,64.94
"31,440.00","31,487.99",211.82,827.19,63.94
"31,488.00","31,535.99",211.82,827.19,62.94
"31,536.00","31,583.99",211.82,827.19,61.94
"31,584.00","31,631.99",211.82,827.19,60.94
"31,632.00","31,679.99",211.82,827.19,59.94
"31,680.00","31,727.99",211.82,827.19,58.94
"31,728.00","31,775.99",211.82,827.19,57.94
"31,776.00","31,823.99",211.82,827.19,56.94
"31,824.00","31,871.99",211.82,827.19,55.94
"31,872.00","31,919.99",211.82,827.19,54.94
"31,920.00","31,967.99",211.82,827.19,53.94
"31,968.00","32,015.99",211.82,827.19,52.94
"32,016.00","32,063.99",211.82,827.19,51.94
"32,064.00","32,111.99",211.82,827.19,50.94
"32,112.00","32,159.99",211.82,827.19,49.94
"32,160.00","32,207.99",211.82,827.19,48.94
"32,208.00","32,255.99",211.82,827.19,47.94
"32,256.00","32,303.99",211.82,827.19,46.94
"32,304.00","32,351.99",211.82,827.19,45.94
"32,352.00","32,399.99",211.82,827.19,44.94
"32,400.00","32,447.99",211.82,827.19,43.94
"32,448.00","32,495.99",211.82,827.19,42.94
"32,496.00","32,543.99",211.82,827.19,41.94
"32,544.00","32,591.99",211.82,827.19,40.94
"32,592.00","32,639.99",211.82,827.19,39.94
"32,640.00","32,687.99",211.82,827.19,38.94
"32,688.00","32,735.99",211.82,827.19,37.94
"32,736.00","32,783.99",211.82,827.19,36.94
"32,784.00","32,831.99",211.82,827.19,35.94
"32,832.00","32,879.99",211.82,827.19,34.94
"32,880.00","32,927.99",211.82,827.19,33.94
"32,928.00","32,975.99",211.82,827.19,32.94
"32,976.00","33,023.99",211.82,827.19,31.94
"33,024.00","33,071.99",211.82,827.19,30.94
"33,072.00","33,119.99",211.82,827.19,29.94
"33,120.00","33,167.99",211.82,827.19,28.94
"33,168.00","33,215.99",211.82,827.19,27.94
"33,216.00","33,263.99",211.82,827.19,26.94
"33,264.00","33,311.99",211.82,827.19,25.94
"33,312.00","33,359.99",211.82,827.19,24.94
"33,360.00","33,407.99",211.82,827.19,23.94
"33,408.00","33,455.99",211.82,827.19,22.94
"33,456.00","33,503.99",211.82,827.19,21.94
"33,504.00","33,551.99",211.82,827.19,20.94
"33,552.00","33,599.99",211.82,827.19,19.94
"33,600.00","33,647.99",211.82,827.19,18.94
"33,648.00","33,695.99",211.82,827.19,17.94
"33,696.00","33,743.99",211.82,827.19,16.94
"33,744.00","33,791.99",211.82,827.19,15.94
"33,792.00","33,839.99",211.82,827.19,14.94
"33,840.00","33,887.99",211.82,827.19,13.94
"33,888.00","33,935.99",211.82,827.19,12.94
"33,936.00","33,983.99",211.82,827.19,11.94
"33,984.00","34,031.99",211.82,827.19,10.94
"34,032.00","34,079.99",211.82,827.19,9.94
"34,080.00","34,127.99",211.82,827.19,8.94
"34,128.00","34,175.99",211.82,827.19,7.94
"34,176.00","34,223.99",211.82,827.19,6.94
"34,224.00","34,271.99",211.82,827.19,5.94
"34,272.00","34,319.99",211.82,827.19,4.94
"34,320.00","34,367.99",211.82,827.19,3.94
"34,368.00","34,415.99",211.82,827.19,2.94
"34,416.00","34,463.99",211.82,827.19,1.94
"34,464.00","34,511.99",211.82,827.19,0.94
,,,,
,,,,
,,,,
